scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Brentidae,higher_taxon,family,suffix,2,11,16,Cylas formicarius,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Coleoptera|Polyphaga|Cucujiformia|Curculionoidea|Brentidae|Cyladinae|Cylas|Cylas formicarius
Breynia,higher_taxon,genus,path_depth,3,11,11,Breynia retusa,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Phyllanthaceae|Phyllanthoideae|Phyllantheae|Breynia|Breynia retusa
Broscini,higher_taxon,tribe,suffix,1,11,11,Broscus punctatus,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Coleoptera|Adephaga|Carabidae|Broscinae|Broscini|Broscina|Broscus|Broscus|Broscus punctatus
Brugmansia,higher_taxon,genus,path_depth,5,11,11,Brugmansia suaveolens,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanoideae|Datureae|Brugmansia|Brugmansia suaveolens
Brunfelsia,higher_taxon,genus,path_depth,1,11,11,Brunfelsia pauciflora,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Petunioideae|Petunieae|Brunfelsia|Brunfelsia pauciflora
Bryum,higher_taxon,genus,path_depth,1,11,11,Bryum argenteum,Eukaryota|Plantae|Bryobiotina|Bryophyta|Bryopsida|Bryidae|Bryanae|Bryales|Bryaceae|Bryum|Bryum argenteum
Bucerotidae,higher_taxon,family,suffix,3,11,11,Anthracoceros albirostris,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Aves|Bucerotiformes|Bucerotidae|Anthracoceros|Anthracoceros albirostris
Bufonidae,higher_taxon,family,suffix,3,11,11,Duttaphrynus melanostictus,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Amphibia|Anura|Bufonidae|Duttaphrynus|Duttaphrynus melanostictus
Bupleurum,higher_taxon,genus,path_depth,4,11,11,Bupleurum longicaule,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Bupleureae|Bupleurum|Bupleurum longicaule
Buprestidae,higher_taxon,family,suffix,7,11,11,Buprestis decemspilota,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Coleoptera|Polyphaga|Elateriformia|Buprestoidea|Buprestidae|Buprestis|Buprestis decemspilota
Burara,higher_taxon,genus,path_depth,3,11,11,Burara harisa,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Lepidoptera|Papilionoidea|Hesperiidae|Coeliadinae|Burara|Burara harisa
Buzara,higher_taxon,genus,path_depth,1,11,11,Buzara onelia,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Noctuoidea|Erebidae|Erebinae|Buzara|Buzara onelia
