taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution
14592,Pycnonotus leucogenys,species,Himalayan Bulbul,Aves,336,2056,http://en.wikipedia.org/wiki/Himalayan_bulbul,https://inaturalist-open-data.s3.amazonaws.com/photos/56546668/medium.jpg,cc-by-nc,"(c) Mikael Bauer, some rights reserved (CC BY-NC), uploaded by Mikael Bauer"
12035,Lanius schach,species,Long-tailed Shrike,Aves,308,16595,http://en.wikipedia.org/wiki/Long-tailed_shrike,https://inaturalist-open-data.s3.amazonaws.com/photos/349298427/medium.jpeg,cc-by-nc,"(c) D.A. Ostiarius, some rights reserved (CC BY-NC), uploaded by D.A. Ostiarius"
125593,Pieris canidia,species,Indian Cabbage White,Insecta,297,10236,http://en.wikipedia.org/wiki/Pieris_canidia,https://inaturalist-open-data.s3.amazonaws.com/photos/304415/medium.jpg,cc-by,"(c) Sterling Sheehy, some rights reserved (CC BY), uploaded by Sterling Sheehy"
50333,Lantana camara,species,common lantana,Plantae,292,95496,http://en.wikipedia.org/wiki/Lantana_camara,https://static.inaturalist.org/photos/369564698/medium.jpeg,,"(c) Rudy, all rights reserved, uploaded by Rudy"
68507,Myophonus caeruleus,species,Blue Whistling-Thrush,Aves,287,6066,http://en.wikipedia.org/wiki/Blue_whistling_thrush,https://static.inaturalist.org/photos/62107533/medium.jpg,,"(c) HUANG QIN, all rights reserved, uploaded by HUANG QIN"
8277,Dicrurus macrocercus,species,Black Drongo,Aves,280,23007,http://en.wikipedia.org/wiki/Black_drongo,https://static.inaturalist.org/photos/251320608/medium.jpg,,"(c) Guru Prasad, all rights reserved, uploaded by Guru Prasad"
447082,Primula denticulata,species,Drumstick Primrose,Plantae,276,1385,http://en.wikipedia.org/wiki/Primula_denticulata,https://inaturalist-open-data.s3.amazonaws.com/photos/47707001/medium.jpeg,cc-by-nc,"(c) Suresh Ghimire, some rights reserved (CC BY-NC), uploaded by Suresh Ghimire"
1455918,Spilopelia chinensis,species,Spotted Dove,Aves,275,58774,https://en.wikipedia.org/wiki/Spotted_dove,https://inaturalist-open-data.s3.amazonaws.com/photos/230618423/medium.jpg,cc-by-sa,"(c) Zinogre, some rights reserved (CC BY-SA), uploaded by Zinogre"
51654,Junonia almana,species,Peacock Pansy,Insecta,272,15232,http://en.wikipedia.org/wiki/Junonia_almana,https://inaturalist-open-data.s3.amazonaws.com/photos/56328191/medium.jpg,cc-by-sa,"(c) Cheongweei Gan, some rights reserved (CC BY-SA), uploaded by Cheongweei Gan"
125570,Junonia iphita,species,Chocolate Pansy,Insecta,271,18543,http://en.wikipedia.org/wiki/Junonia_iphita,https://inaturalist-open-data.s3.amazonaws.com/photos/29140204/medium.jpeg,cc-by-nc,"(c) Cheongweei Gan, some rights reserved (CC BY-NC), uploaded by Cheongweei Gan"
15101,Heterophasia capistrata,species,Rufous Sibia,Aves,260,1186,http://en.wikipedia.org/wiki/Rufous_sibia,https://inaturalist-open-data.s3.amazonaws.com/photos/263912262/medium.jpg,cc-by-nc,"(c) Pål A. Olsvik, some rights reserved (CC BY-NC), uploaded by Pål A. Olsvik"
